# TV5 XML Sources Configuration (15 channels)
# Add your XML URLs here, one per line
# Format: CHANNEL_ID|URL|DISPLAY_NAME
# Note: Date will be automatically updated to current date

============================================
Willow.us|https://iptv-epg.org/files/epg-us.xml|WILLOW

WillowSports.us|https://iptv-epg.org/files/epg-us.xml|Willow Sports


SkySportsCricket.uk|https://iptv-epg.org/files/epg-gb.xml|Sky Sports Cricket





beINSports.us|https://iptv-epg.org/files/epg-us.xml|beIN SPORTS USA

beINSportsXtra.us|https://iptv-epg.org/files/epg-us.xml|beIN Sports Xtra
CBSSportsNetwork.us|https://iptv-epg.org/files/epg-us.xml|CBS SPORTS NETWORK


ESPN2.us|https://iptv-epg.org/files/epg-us.xml|ESPN 2

465410|https://epg.pw/api/epg.xml?lang=en&timezone=QXNpYS9LYXJhY2hp&date=20260803&channel_id=465410|ESPNEWS HD
espnu.us|http://kstv.us:8080/xmltv.php?type=xml|US  | ESPN U HD


FoxSports1.us|https://iptv-epg.org/files/epg-us.xml|Fox Sports 1

FoxSoccerPlus.us|https://iptv-epg.org/files/epg-us.xml|Fox Soccer Plus


TheFightNetwork.ca|https://iptv-epg.org/files/epg-ca.xml|Fight Network
FightNetwork.us|https://iptv-epg.org/files/epg-us.xml|The Fight Network


GolfChannel.us|http://kstv.us:8080/xmltv.php?type=xml|GOLF CHANNEL


NFL Network
NFLRedZone.us|https://iptv-epg.org/files/epg-us.xml|NFL RED ZONE


PremierSports2.uk|ttps://iptv-epg.org/files/epg-gb.xml|Premier Sports 2





MSG2.us|https://iptv-epg.org/files/epg-us.xml|MSG 2
464905|https://epg.pw/api/epg.xml?channel_id=464905|MSG Plus
465033|https://epg.pw/api/epg.xml?channel_id=465033|MSG National
465348|https://epg.pw/api/epg.xml?channel_id=465348|NHL Network HD
465225|https://epg.pw/api/epg.xml?channel_id=465225|New England Sports Network HD
219100|https://epg.pw/api/epg.xml?channel_id=219100|Premier Sports 1 HD
486728|https://epg.pw/api/epg.xml?channel_id=486728|LFCTV HD
470741|https://epg.pw/api/epg.xml?channel_id=470741|Golf Channel
470638|https://epg.pw/api/epg.xml?channel_id=470638|Game Show Network
464810|https://epg.pw/api/epg.xml?channel_id=464810|Game Show Network HD
465058|https://epg.pw/api/epg.xml?channel_id=465058|CHSN Chicago Sports Network
465073|https://epg.pw/api/epg.xml?channel_id=465073|Big Ten Network HD
464879|https://epg.pw/api/epg.xml?channel_id=464879|ACC Network
