# TV5 XML Sources Configuration (15 channels)
# Add your XML URLs here, one per line
# Format: CHANNEL_ID|URL|DISPLAY_NAME
# Note: Date will be automatically updated to current date

======================

SkySportsAction.uk|https://iptv-epg.org/files/epg-gb.xml|Sky Sports Action

SkySportsF1UHD.uk|https://iptv-epg.org/files/epg-gb.xml|Sky Sports F1 UHD
SkySportsFootball.uk|https://iptv-epg.org/files/epg-gb.xml|Sky Sports Football
SkySportsGolf.uk|https://iptv-epg.org/files/epg-gb.xml|Sky Sports Golf
9415|https://epg.pw/api/epg.xml?channel_id=9415|SkySpMainEvHD
SkySportsMix.uk|https://iptv-epg.org/files/epg-gb.xml|Sky Sports Mix
SkySportsNews.uk|https://iptv-epg.org/files/epg-gb.xml|Sky Sports News
SkySportsPremierLeague.uk|https://iptv-epg.org/files/epg-gb.xml|Sky Sports Premier League
SkySportsRacing.uk|https://iptv-epg.org/files/epg-gb.xml|Sky Sports Racing

400480|https://epg.pw/api/epg.xml?channel_id=400480|TNT Sports 2 HD
400479|https://epg.pw/api/epg.xml?channel_id=400479|TNT Sports 3 HD
400478|https://epg.pw/api/epg.xml?channel_id=400478|TNT Sports 4 HD
465108|https://epg.pw/api/epg.xml?channel_id=465108|ESPNU HD
465236|https://epg.pw/api/epg.xml?channel_id=465236|Tennis Channel HD
9175|https://epg.pw/api/epg.xml?channel_id=9175|Racing TV HD
465198|https://epg.pw/api/epg.xml?channel_id=465198|ESPN HD
465288|https://epg.pw/api/epg.xml?channel_id=465288|Altitude Sports
465124|https://epg.pw/api/epg.xml?channel_id=465124|SportsNet Pittsburgh HD
TSN1.ca|https://iptv-epg.org/files/epg-ca.xml|TSN 1
TSN2.ca|https://iptv-epg.org/files/epg-ca.xml|TSN 2
TSN3.ca|https://iptv-epg.org/files/epg-ca.xml|TSN 3
TSN4.ca|https://iptv-epg.org/files/epg-ca.xml|TSN 4
TSN5.ca|https://iptv-epg.org/files/epg-ca.xml|TSN 5
SportsmanChannel.ca|https://iptv-epg.org/files/epg-ca.xml|SPORTSMAN CANADA
Sportsnet360.ca|https://iptv-epg.org/files/epg-ca.xml|SPORTSNET 360
SportsnetEast.ca|https://iptv-epg.org/files/epg-ca.xml|SPORTSNET EAST
SportsnetOntario.ca|https://iptv-epg.org/files/epg-ca.xml|SPORTSNET ONTARIO
470732|https://epg.pw/api/epg.xml?channel_id=470732|Sportsnet (Pacific)
465264|https://epg.pw/api/epg.xml?channel_id=465264|Sportsman Channel
470873|https://epg.pw/api/epg.xml?channel_id=470873|Sportsnet One
464777|https://epg.pw/api/epg.xml?channel_id=464777|SNY SportsNet New York HD
470811|https://epg.pw/api/epg.xml?channel_id=470811|Sportsnet World
465358|https://epg.pw/api/epg.xml?channel_id=465358|World Fishing Network HD (US)
